Applicant_ID,Age,City_Tier,Annual_Income,CIBIL_Score,UPI_Txns_Monthly,Loan_Amount,Loan_Tenure_Months,Default_Status
APP-100000,36,Tier_1,953045,797,70,100000,36,0
APP-100001,40,Tier_1,593206,795,37,100000,12,0
APP-100002,21,Tier_1,1052548,782,68,200000,24,0
APP-100003,33,Tier_2,300000,863,19,100000,24,1
APP-100004,39,Tier_1,455755,691,40,100000,24,0
APP-100005,24,Tier_1,446808,713,21,50000,36,1
APP-100006,28,Tier_2,403388,657,40,50000,24,0
APP-100007,38,Tier_2,643775,650,47,50000,12,0
APP-100008,35,Tier_3,541351,818,29,50000,12,0
APP-100009,38,Tier_3,595621,740,44,50000,36,0
APP-100010,26,Tier_1,830916,745,64,100000,12,0
APP-100011,41,Tier_2,300000,604,13,100000,24,0
APP-100012,21,Tier_1,1124354,721,69,100000,36,0
APP-100013,31,Tier_1,1021177,564,58,50000,36,0
APP-100014,23,Tier_2,457654,621,21,200000,24,1
APP-100015,21,Tier_1,886550,680,56,50000,12,0
APP-100016,32,Tier_3,673120,662,50,50000,12,0
APP-100017,27,Tier_2,486236,723,45,100000,12,0
APP-100018,21,Tier_1,782136,757,66,100000,12,0
APP-100019,21,Tier_1,573564,701,53,500000,12,0
APP-100020,48,Tier_1,780703,762,53,200000,24,0
APP-100021,40,Tier_1,971242,562,74,100000,24,1
APP-100022,26,Tier_2,532090,729,43,100000,36,0
APP-100023,32,Tier_3,727646,685,67,200000,36,0
APP-100024,29,Tier_2,365325,775,17,50000,24,0
APP-100025,41,Tier_1,608588,751,47,100000,12,0
APP-100026,23,Tier_1,737221,850,48,50000,12,0
APP-100027,44,Tier_1,751710,709,65,200000,12,0
APP-100028,39,Tier_1,637316,786,37,100000,36,0
APP-100029,35,Tier_1,1301166,891,93,100000,12,0
APP-100030,40,Tier_1,938688,766,76,50000,36,0
APP-100031,32,Tier_3,602686,700,52,200000,36,0
APP-100032,36,Tier_1,428622,815,22,50000,36,1
APP-100033,37,Tier_1,590109,728,42,50000,12,0
APP-100034,25,Tier_1,960908,733,66,500000,12,0
APP-100035,48,Tier_1,431604,837,43,100000,24,0
APP-100036,30,Tier_1,906603,900,54,50000,24,0
APP-100037,38,Tier_2,300000,802,14,100000,36,0
APP-100038,22,Tier_1,713539,684,51,100000,24,0
APP-100039,40,Tier_3,300000,618,31,50000,12,0
APP-100040,21,Tier_2,620415,873,42,200000,24,0
APP-100041,21,Tier_2,470654,808,34,500000,24,0
APP-100042,39,Tier_1,586511,800,36,100000,24,0
APP-100043,28,Tier_1,995699,777,64,50000,12,0
APP-100044,21,Tier_3,613888,878,39,100000,24,0
APP-100045,28,Tier_3,740087,900,43,50000,24,0
APP-100046,21,Tier_2,694613,695,49,200000,36,0
APP-100047,34,Tier_1,1007769,671,58,500000,24,0
APP-100048,26,Tier_2,759146,627,59,100000,12,0
APP-100049,34,Tier_1,893817,721,57,50000,24,0
APP-100050,36,Tier_2,430582,681,19,500000,12,0
APP-100051,23,Tier_1,832174,765,60,50000,12,0
APP-100052,21,Tier_2,300000,669,37,200000,24,1
APP-100053,40,Tier_1,891525,755,58,200000,12,0
APP-100054,39,Tier_2,300000,782,33,50000,36,0
APP-100055,28,Tier_2,553302,814,43,50000,36,0
APP-100056,26,Tier_2,357277,681,18,50000,12,0
APP-100057,30,Tier_3,617815,558,60,200000,24,0
APP-100058,36,Tier_2,328864,900,23,100000,12,0
APP-100059,43,Tier_2,452803,789,36,50000,24,0
APP-100060,37,Tier_1,598233,855,38,50000,36,0
APP-100061,41,Tier_3,300000,900,13,200000,36,0
APP-100062,22,Tier_1,1137402,759,70,50000,12,0
APP-100063,32,Tier_2,590673,801,41,200000,36,0
APP-100064,29,Tier_3,729842,761,66,100000,12,0
APP-100065,35,Tier_1,546326,826,41,100000,12,0
APP-100066,34,Tier_1,630827,850,41,100000,24,0
APP-100067,51,Tier_1,1045880,822,87,50000,24,0
APP-100068,33,Tier_1,929314,709,78,50000,36,1
APP-100069,39,Tier_2,300000,689,33,100000,36,0
APP-100070,31,Tier_2,362231,670,20,50000,24,0
APP-100071,44,Tier_3,549735,882,52,50000,24,0
APP-100072,25,Tier_3,300000,611,36,50000,12,0
APP-100073,29,Tier_2,322573,745,39,100000,12,0
APP-100074,35,Tier_3,432436,635,30,50000,12,0
APP-100075,33,Tier_2,400187,757,33,50000,36,0
APP-100076,30,Tier_1,872207,641,62,50000,12,1
APP-100077,24,Tier_1,731383,733,55,50000,24,0
APP-100078,34,Tier_1,797113,880,52,100000,24,0
APP-100079,21,Tier_3,923633,728,75,100000,12,0
APP-100080,21,Tier_3,376686,782,27,200000,36,0
APP-100081,32,Tier_2,354806,734,28,50000,24,0
APP-100082,23,Tier_1,1032047,665,84,100000,36,0
APP-100083,26,Tier_1,899928,725,65,50000,24,0
APP-100084,22,Tier_3,539764,824,36,50000,36,0
APP-100085,42,Tier_1,746157,707,59,500000,36,0
APP-100086,27,Tier_1,802395,863,72,100000,24,0
